timestamp,open,high,low,close,volume
2026-04-15 00:00:00+00:00,74170.09375,74262.90625,74154.828125,74262.90625,0
2026-04-15 00:01:00+00:00,74290.4296875,74354.15625,74290.4296875,74354.15625,0
2026-04-15 00:02:00+00:00,74343.53125,74352.796875,74313.1875,74336.5234375,0
2026-04-15 00:03:00+00:00,74337.671875,74382.8984375,74337.671875,74378.0234375,0
2026-04-15 00:04:00+00:00,74393.1015625,74589.7578125,74379.65625,74589.7578125,0
2026-04-15 00:05:00+00:00,74534.703125,74670.4765625,74516.046875,74670.4765625,0
2026-04-15 00:06:00+00:00,74647.9765625,74676.2890625,74637.3671875,74655.046875,2957312
2026-04-15 00:07:00+00:00,74662.59375,74706.2265625,74644.7421875,74677.296875,0
2026-04-15 00:08:00+00:00,74690.9296875,74714.0,74684.421875,74706.0,0
2026-04-15 00:09:00+00:00,74702.0703125,74718.8203125,74667.3125,74667.3125,6246400
2026-04-15 00:10:00+00:00,74653.5078125,74653.5078125,74587.25,74587.25,0
2026-04-15 00:11:00+00:00,74589.9921875,74645.7265625,74573.6484375,74645.7265625,116719616
2026-04-15 00:12:00+00:00,74644.0,74644.0,74587.796875,74587.796875,536576
2026-04-15 00:13:00+00:00,74584.5703125,74584.5703125,74533.0234375,74558.6328125,0
2026-04-15 00:14:00+00:00,74559.78125,74595.546875,74555.59375,74595.546875,0
2026-04-15 00:15:00+00:00,74559.4921875,74559.4921875,74511.203125,74524.0703125,0
2026-04-15 00:16:00+00:00,74531.0,74537.9921875,74514.578125,74524.65625,2080768
2026-04-15 00:17:00+00:00,74525.0,74544.609375,74490.859375,74490.859375,0
2026-04-15 00:18:00+00:00,74467.453125,74480.0,74434.0,74434.0,0
2026-04-15 00:19:00+00:00,74446.3828125,74449.9921875,74432.0390625,74434.0703125,0
2026-04-15 00:20:00+00:00,74436.3515625,74534.703125,74436.3515625,74509.9296875,66080768
2026-04-15 00:21:00+00:00,74502.859375,74578.46875,74496.0,74572.0234375,0
2026-04-15 00:22:00+00:00,74575.96875,74688.0,74575.96875,74688.0,1372160
2026-04-15 00:23:00+00:00,74685.2578125,74685.2578125,74586.7890625,74586.7890625,0
2026-04-15 00:24:00+00:00,74599.3828125,74624.9921875,74573.6484375,74616.4765625,10932224
2026-04-15 00:25:00+00:00,74602.078125,74637.3515625,74583.2578125,74592.8828125,0
2026-04-15 00:26:00+00:00,74592.84375,74646.0,74592.84375,74620.4921875,0
2026-04-15 00:27:00+00:00,74623.7421875,74642.8515625,74615.3515625,74615.3515625,3809280
2026-04-15 00:28:00+00:00,74619.9921875,74619.9921875,74572.03125,74572.03125,0
2026-04-15 00:29:00+00:00,74573.3671875,74633.9921875,74568.0078125,74633.9921875,0
2026-04-15 00:30:00+00:00,74629.3984375,74641.65625,74594.8671875,74622.453125,0
2026-04-15 00:31:00+00:00,74622.0390625,74634.4296875,74556.0,74559.2265625,0
2026-04-15 00:32:00+00:00,74541.7890625,74570.4296875,74521.9609375,74532.1171875,99106816
